repeat	run	wall_us	input_us	core_us	dense_us	depthwise_us	attention_us	lut_us	concat_us	transform_us	head_us	process_cpu_us	voluntary_cs	involuntary_cs	affinity_ok	cpu4_7_ime_count	hash
0	61	134416	2328.44	20214	67417.4	15955.1	11468.4	7704.12	4051.85	2498.78	2685.94	664985	0	3	1	0	0xd43f5e018b415631
0	62	134377	2526.53	20155.5	67443.7	15910.5	11410.6	7639.74	3966.89	2556.27	2673.44	670563	0	0	1	0	0xd43f5e018b415631
0	63	134066	2267.07	20276.8	67435.6	15732.3	11390.9	7696.21	3932.52	2565.49	2675.4	659694	0	2	1	0	0xd43f5e018b415631
0	64	134650	2398.07	20353.5	67604.8	15905.4	11451.3	7668.29	3980.1	2493.9	2701.61	667208	0	0	1	0	0xd43f5e018b415631
0	65	133479	2204.2	20113.8	67183.6	15770.1	11362.7	7532.24	3995.85	2582.19	2644.57	654530	0	0	1	0	0xd43f5e018b415631
0	66	134196	2237.65	20217	67332.8	15877.3	11416.6	7657.79	4177.68	2505.28	2681.44	664396	1	0	1	0	0xd43f5e018b415631
0	67	133717	2270.9	20203.5	67251.7	15792.7	11319.3	7678.25	3959.31	2504.52	2644.23	654043	0	0	1	0	0xd43f5e018b415631
0	68	133546	2238.11	20099.8	67281.5	15780	11435.5	7523.16	3952.81	2495.36	2645.69	661987	0	1	1	0	0xd43f5e018b415631
0	69	133605	2201.57	20212.7	67312.1	15719.4	11393.1	7427.54	4036.43	2558.44	2650.65	655097	0	0	1	0	0xd43f5e018b415631
0	70	133919	2254.57	20174.9	67447.8	15717.1	11376.1	7708.58	3955.56	2504.4	2690.78	663907	1	3	1	0	0xd43f5e018b415631
0	71	134124	2283.19	20203.2	67423.2	15919.5	11394.5	7643.7	4024.35	2491.65	2649.73	655636	0	0	1	0	0xd43f5e018b415631
0	72	133675	2188.4	20102	67423.2	15821.5	11426.5	7452.67	3961.18	2528.74	2679.98	661760	0	0	1	0	0xd43f5e018b415631
0	73	133644	2256.61	20233.4	67233.1	15753.2	11342.2	7584.91	3995.73	2505.99	2645.57	653965	1	0	1	0	0xd43f5e018b415631
0	74	133937	2238.03	20301.3	67351.2	15765	11427.6	7695.46	3910.81	2480.61	2675.19	662701	2	0	1	0	0xd43f5e018b415631
0	75	134366	2527.03	20347.7	67269.9	15959.9	11359.8	7740.87	3854.19	2535.07	2678.86	670581	0	1	1	0	0xd43f5e018b415631
0	76	134047	2197.32	20209.9	67451.6	15782.2	11365.7	7731.83	3978.27	2558.73	2681.36	659744	0	2	1	0	0xd43f5e018b415631
0	77	133498	2254.15	20336.8	67109	15845.4	11402.2	7427.66	3839.81	2503.48	2685.78	666081	1	1	1	0	0xd43f5e018b415631
0	78	133850	2196.15	20306.1	67303.8	15830.9	11357	7583.49	3950.23	2539.9	2688.94	659570	0	1	1	0	0xd43f5e018b415631
0	79	133944	2247.28	20125	67397.7	15802.7	11349	7878.45	3886.06	2495.86	2667.32	667365	0	0	1	0	0xd43f5e018b415631
0	80	134051	2194.9	20172.2	67831.4	15725.2	11369	7442.96	4009.31	2559.28	2656.23	658797	0	1	1	0	0xd43f5e018b415631
0	81	133475	2259.74	20160.8	67167.3	15859.2	11376.5	7507.41	3869.69	2504.36	2681.03	664892	0	0	1	0	0xd43f5e018b415631
0	82	133706	2178.4	20015.9	67438.8	15756.5	11368.5	7652.96	3924.73	2595.61	2677.19	658387	0	0	1	0	0xd43f5e018b415631
0	83	133622	2237.86	20196.1	67277.1	15814.3	11364.1	7508.16	3968.72	2500.32	2663.98	666449	0	1	1	0	0xd43f5e018b415631
0	84	133579	2199.03	20290.6	67179	15723.4	11384.6	7592.79	3951.98	2487.78	2677.03	659109	0	0	1	0	0xd43f5e018b415631
